epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
58,2732.71,0.89454,0.59493,0.10077,0.35461,0.5641,0.3982,0.17347,0.74497,0.65992,0.05817,3.97019e-05,3.97019e-05,3.97019e-05
59,2777.99,0.87957,0.57863,0.08421,0.46576,0.46154,0.46788,0.1948,0.81871,0.58189,0.06457,3.81899e-05,3.81899e-05,3.81899e-05
60,2824.72,0.92284,0.56555,0.09294,0.45596,0.57265,0.46037,0.1951,0.80796,0.57951,0.0618,3.66899e-05,3.66899e-05,3.66899e-05
61,2871.42,0.94078,0.5728,0.10653,0.48661,0.5812,0.53288,0.22475,0.80201,0.57376,0.06279,3.52037e-05,3.52037e-05,3.52037e-05
62,2918.9,0.8993,0.57483,0.08231,0.39979,0.54701,0.45592,0.19094,0.80591,0.58632,0.06242,3.37325e-05,3.37325e-05,3.37325e-05
63,2964.54,0.91285,0.57011,0.09549,0.46377,0.55556,0.47104,0.20412,0.77935,0.59658,0.05521,3.22778e-05,3.22778e-05,3.22778e-05
64,3009.89,0.81959,0.61227,0.07615,0.46597,0.52991,0.48756,0.19564,0.75745,0.60483,0.05444,3.08412e-05,3.08412e-05,3.08412e-05
65,3054.86,0.85094,0.58568,0.07994,0.48289,0.55556,0.50599,0.22297,0.73538,0.60975,0.05007,2.94239e-05,2.94239e-05,2.94239e-05
66,3101.6,0.82735,0.58612,0.07651,0.4556,0.60684,0.50115,0.22259,0.725,0.61045,0.04751,2.80275e-05,2.80275e-05,2.80275e-05
67,3148.18,0.86223,0.57822,0.08806,0.50504,0.5641,0.50732,0.21993,0.73055,0.6203,0.05171,2.66532e-05,2.66532e-05,2.66532e-05
68,3193.79,0.90772,0.55403,0.09553,0.46459,0.57265,0.50828,0.23154,0.75528,0.60591,0.06122,2.53024e-05,2.53024e-05,2.53024e-05
69,3240.46,0.82342,0.59469,0.07491,0.45967,0.47863,0.47753,0.2111,0.73659,0.63029,0.0573,2.39766e-05,2.39766e-05,2.39766e-05
70,3287.37,0.89805,0.58096,0.09338,0.44016,0.60684,0.51692,0.22599,0.74107,0.59853,0.05058,2.26769e-05,2.26769e-05,2.26769e-05
71,3333.34,0.82924,0.60382,0.07726,0.4594,0.64103,0.47059,0.20391,0.73528,0.61529,0.05903,2.14046e-05,2.14046e-05,2.14046e-05
72,3379.11,0.86811,0.58485,0.08724,0.46478,0.4973,0.46586,0.23274,0.73761,0.61613,0.05916,2.01611e-05,2.01611e-05,2.01611e-05
73,3427.19,0.86413,0.59139,0.09155,0.5287,0.50427,0.51746,0.23425,0.74309,0.60098,0.06015,1.89475e-05,1.89475e-05,1.89475e-05
74,3475.8,0.83714,0.60086,0.08505,0.46691,0.52991,0.50133,0.22617,0.76226,0.60125,0.05995,1.77651e-05,1.77651e-05,1.77651e-05
75,3521.25,0.82589,0.64321,0.09484,0.44301,0.55745,0.45143,0.2074,0.73154,0.63039,0.05806,1.66149e-05,1.66149e-05,1.66149e-05
76,3567.05,0.79817,0.63115,0.08294,0.46176,0.58974,0.45519,0.20505,0.73425,0.62107,0.06118,1.54982e-05,1.54982e-05,1.54982e-05
77,3616.57,0.8183,0.61897,0.07855,0.48993,0.53846,0.51769,0.23842,0.72615,0.61395,0.05807,1.44161e-05,1.44161e-05,1.44161e-05
78,3666.52,0.82088,0.61784,0.08882,0.48804,0.61538,0.50399,0.2324,0.70162,0.61625,0.0549,1.33695e-05,1.33695e-05,1.33695e-05
79,3713.05,0.77433,0.6108,0.06746,0.46,0.6116,0.49214,0.21571,0.74939,0.60354,0.05951,1.23596e-05,1.23596e-05,1.23596e-05
80,3760.61,0.82461,0.59668,0.0816,0.52068,0.57564,0.54945,0.24701,0.74314,0.59835,0.0595,1.13873e-05,1.13873e-05,1.13873e-05
81,3809.16,0.79329,0.61686,0.0736,0.50112,0.54948,0.49004,0.22277,0.73949,0.60739,0.05999,1.04537e-05,1.04537e-05,1.04537e-05
82,3855.86,0.79527,0.59288,0.07704,0.52002,0.5641,0.54387,0.22721,0.74824,0.59922,0.06,9.55951e-06,9.55951e-06,9.55951e-06
83,3904.19,0.77399,0.62582,0.06652,0.41351,0.57265,0.49461,0.23513,0.75669,0.59999,0.06121,8.70577e-06,8.70577e-06,8.70577e-06
84,3952.12,0.78117,0.61295,0.07504,0.43432,0.62393,0.50593,0.22997,0.74146,0.61646,0.05897,7.89327e-06,7.89327e-06,7.89327e-06
85,3998.9,0.78162,0.61242,0.07342,0.49519,0.52991,0.5563,0.25292,0.72556,0.59599,0.05764,7.12282e-06,7.12282e-06,7.12282e-06
86,4047.55,0.824,0.5943,0.08773,0.49729,0.51282,0.51023,0.22609,0.73906,0.59917,0.05989,6.39518e-06,6.39518e-06,6.39518e-06
87,4093.27,0.79101,0.61044,0.08052,0.48396,0.62523,0.50273,0.23306,0.72521,0.59847,0.0597,5.71106e-06,5.71106e-06,5.71106e-06
88,4139.23,0.82833,0.59287,0.07575,0.48708,0.56005,0.51641,0.24426,0.72391,0.61244,0.05877,5.07115e-06,5.07115e-06,5.07115e-06
89,4188.41,0.83819,0.58509,0.08549,0.50002,0.52991,0.53741,0.24721,0.72163,0.60989,0.0572,4.47606e-06,4.47606e-06,4.47606e-06
90,4234.93,0.76648,0.61451,0.07923,0.47977,0.57265,0.55729,0.26535,0.69979,0.60507,0.05613,3.9264e-06,3.9264e-06,3.9264e-06
91,4283.74,0.82126,0.60303,0.07956,0.44157,0.62393,0.53105,0.25098,0.72756,0.60518,0.0596,3.4227e-06,3.4227e-06,3.4227e-06
92,4330.64,0.7741,0.61331,0.07171,0.59178,0.53846,0.57359,0.28042,0.67183,0.61631,0.05396,2.96546e-06,2.96546e-06,2.96546e-06
93,4378.59,0.81319,0.59958,0.07959,0.52956,0.51956,0.51378,0.24548,0.71975,0.61122,0.05955,2.55513e-06,2.55513e-06,2.55513e-06
94,4427.76,0.83327,0.59426,0.07975,0.52539,0.52137,0.52515,0.25936,0.66529,0.6317,0.0528,2.19212e-06,2.19212e-06,2.19212e-06
95,4474.49,0.81026,0.61144,0.07582,0.5694,0.59829,0.55405,0.27038,0.68481,0.60094,0.05434,1.87678e-06,1.87678e-06,1.87678e-06
96,4526.4,0.80342,0.60077,0.08336,0.44987,0.58974,0.47343,0.23109,0.69334,0.6225,0.05589,1.60943e-06,1.60943e-06,1.60943e-06
97,4573.08,0.82407,0.58981,0.0872,0.52546,0.5641,0.55221,0.26925,0.68608,0.60894,0.05595,1.39032e-06,1.39032e-06,1.39032e-06
98,4620.56,0.82688,0.60834,0.08573,0.54442,0.53113,0.54462,0.26542,0.68613,0.61836,0.05519,1.21968e-06,1.21968e-06,1.21968e-06
99,4672.41,0.78224,0.61889,0.07408,0.47516,0.5812,0.51852,0.25132,0.68543,0.62482,0.05407,1.09768e-06,1.09768e-06,1.09768e-06
100,4720.47,0.78173,0.61716,0.06953,0.49058,0.60087,0.47176,0.22424,0.73245,0.60965,0.06045,1.02443e-06,1.02443e-06,1.02443e-06
